word	score	prompt: sub
sovkhozes	8.022380	{"vkh": 3, "ovk": 6, "vk": 8, "hoz": 18, "sov": 54, "kho": 107, "oze": 143, "kh": 443, "oz": 635, "zes": 1420, "ov": 4486, "ze": 5493, "so": 6604, "ho": 12783, "es": 63456}
valknut	8.022211	{"lkn": 2, "knu": 56, "nut": 282, "alk": 459, "kn": 692, "val": 793, "lk": 833, "nu": 2294, "va": 3835, "ut": 7768, "al": 27586}
oleoyls	8.021788	{"eoy": 2, "oyl": 64, "yls": 145, "leo": 346, "oy": 965, "ole": 1600, "yl": 2292, "eo": 3457, "ls": 4584, "ol": 14114, "le": 25286}
yae	8.021343	{"yae": 7, "ya": 1450, "ae": 2360}
yay	8.021271	{"yay": 7, "ya": 1450, "ay": 2419}
popjoy	8.020918	{"pjo": 4, "opj": 8, "pj": 26, "joy": 72, "pop": 483, "jo": 931, "oy": 965, "po": 9502, "op": 10913}
fahlband	8.020756	{"hlb": 2, "fah": 15, "ahl": 24, "lba": 105, "lb": 515, "ban": 849, "hl": 1195, "ah": 1215, "and": 3227, "fa": 3401, "ba": 7263, "nd": 10940, "an": 27255}
fohns	8.020705	{"foh": 5, "hns": 11, "ohn": 24, "oh": 671, "hn": 745, "fo": 4009, "ns": 16950}
newfypoos	8.020501	{"fyp": 2, "wfy": 6, "ewf": 32, "wf": 124, "new": 310, "poo": 348, "oos": 452, "ypo": 485, "fy": 616, "ew": 2097, "yp": 2421, "oo": 6917, "po": 9502, "os": 11445, "ne": 24341}
owlhead	8.020223	{"wlh": 2, "lhe": 63, "lh": 216, "owl": 323, "wl": 507, "ead": 1623, "hea": 1658, "ow": 4449, "ad": 7572, "ea": 11426, "he": 15118}
trdelnik	8.020111	{"trd": 2, "lni": 14, "eln": 28, "nik": 94, "rde": 648, "del": 735, "ln": 742, "ik": 1699, "rd": 4404, "el": 14244, "tr": 14998, "ni": 15928, "de": 17740}
arcmin	8.020041	{"rcm": 4, "cmi": 7, "cm": 27, "arc": 1270, "min": 3669, "rc": 3824, "mi": 13679, "ar": 23319, "in": 55898}
mcleods	8.019907	{"mcl": 2, "eod": 83, "mc": 121, "leo": 346, "ods": 488, "cle": 1112, "eo": 3457, "cl": 4109, "ds": 4535, "od": 5255, "le": 25286}
remex	8.019265	{"mex": 3, "rem": 1222, "eme": 1596, "ex": 4115, "em": 8854, "me": 14687, "re": 31607}
hijras	8.018993	{"ijr": 4, "jra": 15, "hij": 19, "jr": 19, "ij": 123, "ras": 1540, "hi": 11300, "as": 16255, "ra": 26052}
rydbergs	8.018966	{"ydb": 2, "ryd": 15, "rgs": 35, "dbe": 48, "db": 392, "erg": 853, "yd": 997, "ber": 1621, "rg": 2514, "ry": 4298, "gs": 5319, "be": 7191, "er": 53857}
pykretes	8.018345	{"ykr": 2, "pyk": 11, "kre": 63, "yk": 97, "kr": 373, "py": 1116, "ret": 1853, "ete": 2268, "tes": 4840, "et": 13963, "re": 31607, "te": 33606, "es": 63456}
libtard	8.018289	{"ibt": 2, "bta": 52, "bt": 343, "lib": 421, "tar": 1554, "ard": 2351, "ib": 3120, "rd": 4404, "ta": 15325, "ar": 23319, "li": 27677}
maskirovka	8.017989	{"vka": 2, "ovk": 6, "vk": 8, "kir": 123, "ask": 222, "iro": 400, "rov": 478, "ski": 663, "mas": 1109, "sk": 1833, "ka": 2086, "ov": 4486, "ki": 4856, "ir": 6045, "ma": 13966, "as": 16255, "ro": 21780}
soxhlets	8.017428	{"xhl": 2, "sox": 15, "oxh": 25, "xh": 132, "hle": 272, "ets": 1076, "hl": 1195, "let": 1306, "ox": 1597, "so": 6604, "ts": 10527, "et": 13963, "le": 25286}
aua	8.017367	{"aua": 7, "ua": 3275, "au": 4224}
warmth	8.017146	{"rmt": 4, "mth": 6, "mt": 93, "arm": 851, "war": 1081, "wa": 4375, "rm": 4458, "th": 11453, "ar": 23319}
maqsurahs	8.016832	{"qsu": 2, "aqs": 9, "qs": 21, "maq": 24, "rah": 180, "ahs": 259, "aq": 298, "sur": 1116, "ah": 1215, "ura": 1398, "hs": 1500, "su": 7091, "ur": 10931, "ma": 13966, "ra": 26052}
tsktsks	8.016297	{"kts": 6, "skt": 6, "tsk": 32, "sks": 81, "kt": 245, "sk": 1833, "ks": 2959, "ts": 10527}
faas	8.015512	{"faa": 5, "aas": 29, "aa": 269, "fa": 3401, "as": 16255}
hobgoblin	8.015430	{"obg": 2, "bgo": 8, "bg": 46, "gob": 64, "obl": 333, "bli": 905, "hob": 1871, "go": 3757, "ob": 5008, "lin": 5706, "bl": 8236, "ho": 12783, "li": 27677, "in": 55898}
lachsschinken	8.015387	{"hss": 1, "ssc": 29, "chs": 220, "nke": 506, "ken": 514, "ink": 738, "sch": 919, "lac": 1140, "hs": 1500, "ach": 1595, "nk": 2095, "hin": 2313, "chi": 2870, "ke": 6801, "sc": 7227, "hi": 11300, "ac": 12227, "ch": 15074, "ss": 16363, "la": 18073, "en": 28336, "in": 55898}
kojis	8.015287	{"koj": 4, "oji": 25, "jis": 28, "oj": 206, "ji": 440, "ko": 971, "is": 31626}
avgasses	8.015143	{"vga": 4, "avg": 5, "vg": 6, "gas": 531, "ass": 2097, "av": 2788, "ga": 5763, "sse": 5855, "ses": 9328, "as": 16255, "ss": 16363, "se": 24344, "es": 63456}
kumquats	8.015139	{"mq": 5, "mqu": 5, "umq": 5, "kum": 77, "ku": 497, "uat": 501, "ats": 681, "qua": 1359, "ua": 3275, "qu": 4369, "um": 6434, "ts": 10527, "at": 33338}
eszetts	8.014663	{"esz": 4, "sze": 5, "sz": 22, "zet": 58, "tts": 96, "ett": 1399, "tt": 5383, "ze": 5493, "ts": 10527, "et": 13963, "es": 63456}
gazozes	8.014637	{"zoz": 2, "gaz": 101, "oze": 143, "azo": 300, "oz": 635, "zo": 1311, "az": 1383, "zes": 1420, "ze": 5493, "ga": 5763, "es": 63456}
cirques	8.014319	{"irq": 2, "rqu": 111, "rq": 113, "cir": 350, "ues": 561, "que": 1235, "ue": 2745, "qu": 4369, "ir": 6045, "ci": 8719, "es": 63456}
dhyanas	8.014072	{"dhy": 2, "hya": 67, "yan": 295, "dh": 389, "nas": 715, "ana": 1428, "ya": 1450, "hy": 4712, "na": 12129, "as": 16255, "an": 27255}
wildtype	8.013847	{"dty": 2, "ldt": 10, "dt": 135, "wil": 238, "ild": 365, "typ": 470, "ype": 891, "ld": 2067, "yp": 2421, "wi": 2990, "ty": 4368, "il": 12822, "pe": 13090}
heeljob	8.013586	{"elj": 4, "ljo": 6, "lj": 11, "job": 91, "eel": 458, "hee": 665, "jo": 931, "ob": 5008, "ee": 6626, "el": 14244, "he": 15118}
qigongs	8.013326	{"qig": 2, "qi": 59, "igo": 292, "gon": 654, "ong": 1150, "go": 3757, "ngs": 4650, "gs": 5319, "ig": 5744, "ng": 31814, "on": 34070}
sarsden	8.013249	{"rsd": 2, "sde": 64, "sd": 236, "sar": 527, "ars": 1093, "den": 1570, "sa": 7941, "rs": 15538, "de": 17740, "ar": 23319, "en": 28336}
erzstift	8.013239	{"rzs": 4, "zst": 4, "zs": 13, "erz": 36, "rz": 117, "ift": 355, "tif": 731, "ft": 1185, "if": 4106, "sti": 4185, "st": 28623, "ti": 41397, "er": 53857}
gojis	8.012997	{"goj": 4, "oji": 25, "jis": 28, "oj": 206, "ji": 440, "go": 3757, "is": 31626}
blowup	8.012114	{"owu": 4, "wup": 6, "wu": 124, "blo": 635, "low": 1040, "up": 3827, "ow": 4449, "bl": 8236, "lo": 14583}
serfhood	8.011834	{"rfh": 2, "fho": 12, "fh": 34, "erf": 740, "hoo": 778, "ood": 1152, "rf": 1263, "ser": 2204, "od": 5255, "oo": 6917, "ho": 12783, "se": 24344, "er": 53857}
remuage	8.011674	{"mua": 2, "uag": 62, "emu": 228, "rem": 1222, "age": 2085, "ua": 3275, "mu": 3409, "ag": 6532, "em": 8854, "ge": 9698, "re": 31607}
wejacks	8.011345	{"wej": 2, "eja": 73, "jac": 319, "ej": 332, "ja": 1254, "cks": 1402, "ack": 2441, "ks": 2959, "we": 3183, "ck": 7116, "ac": 12227}
sitzmark	8.010836	{"tzm": 2, "zma": 16, "zm": 24, "itz": 135, "tz": 424, "ark": 789, "sit": 1391, "mar": 1482, "rk": 1925, "si": 13737, "ma": 13966, "it": 19542, "ar": 23319}
czapka	8.010390	{"pka": 6, "apk": 8, "cza": 22, "zap": 28, "cz": 30, "pk": 50, "ka": 2086, "za": 2328, "ap": 7769}
fufus	8.009978	{"ufu": 4, "fuf": 33, "fus": 357, "uf": 863, "fu": 2991, "us": 11114}
xray	8.009677	{"xra": 7, "xr": 11, "ray": 339, "ay": 2419, "ra": 26052}
muzhik	8.008936	{"zhi": 4, "uzh": 9, "muz": 34, "zh": 51, "hik": 82, "uz": 304, "ik": 1699, "mu": 3409, "hi": 11300}
mcdojo	8.008489	{"doj": 6, "mcd": 6, "cdo": 27, "cd": 48, "ojo": 48, "mc": 121, "oj": 206, "jo": 931, "do": 6057}
furzy	8.008052	{"rzy": 4, "urz": 15, "rz": 117, "zy": 341, "fur": 342, "fu": 2991, "ur": 10931}
uncomfy	8.008048	{"mfy": 2, "omf": 80, "mf": 217, "fy": 616, "nco": 1144, "unc": 1705, "com": 2444, "nc": 9289, "om": 11650, "un": 14179, "co": 18297}
woylies	8.008039	{"woy": 2, "oyl": 64, "yli": 368, "oy": 965, "lie": 1784, "yl": 2292, "wo": 2912, "ies": 10963, "ie": 18678, "li": 27677, "es": 63456}
bowlful	8.007792	{"wlf": 2, "lfu": 114, "bow": 215, "owl": 323, "wl": 507, "lf": 1343, "ful": 1371, "fu": 2991, "ow": 4449, "bo": 6341, "ul": 9579}
cowtree	8.007261	{"wtr": 2, "owt": 114, "cow": 187, "wt": 214, "ree": 1658, "tre": 1706, "ow": 4449, "ee": 6626, "tr": 14998, "co": 18297, "re": 31607}
maatjes	8.006977	{"atj": 4, "tje": 6, "aat": 28, "maa": 33, "tj": 57, "jes": 66, "aa": 269, "je": 871, "ma": 13966, "at": 33338, "es": 63456}
mrdanga	8.006060	{"mrd": 2, "mr": 89, "rda": 268, "nga": 482, "dan": 598, "ang": 1972, "rd": 4404, "da": 5117, "ga": 5763, "an": 27255, "ng": 31814}
myrbane	8.005109	{"yrb": 2, "myr": 75, "rba": 518, "ban": 849, "yr": 1188, "my": 1322, "ane": 1351, "rb": 2528, "ba": 7263, "ne": 24341, "an": 27255}
armsful	8.004601	{"msf": 2, "sfu": 95, "rms": 287, "sf": 439, "arm": 851, "ful": 1371, "fu": 2991, "ms": 4377, "rm": 4458, "ul": 9579, "ar": 23319}
indyref	8.004344	{"dyr": 2, "yre": 117, "ndy": 147, "ref": 988, "yr": 1188, "dy": 1279, "ind": 1868, "ef": 3008, "nd": 10940, "re": 31607, "in": 55898}
kohls	8.004304	{"ohl": 7, "hls": 8, "koh": 17, "oh": 671, "ko": 971, "hl": 1195, "ls": 4584}
syke	8.004290	{"syk": 5, "yke": 40, "yk": 97, "sy": 2287, "ke": 6801}
oddment	8.004061	{"ddm": 2, "dme": 91, "odd": 229, "dm": 452, "dd": 1739, "men": 4225, "od": 5255, "ent": 7961, "me": 14687, "nt": 20842, "en": 28336}
aardvark	8.004031	{"rdv": 2, "aar": 33, "dva": 43, "aa": 269, "dv": 289, "var": 397, "ark": 789, "rk": 1925, "ard": 2351, "va": 3835, "rd": 4404, "ar": 23319}
vsinger	8.003852	{"vsi": 2, "vs": 59, "nge": 1577, "ger": 1763, "sin": 3245, "ge": 9698, "si": 13737, "ing": 27365, "ng": 31814, "er": 53857, "in": 55898}
filmdoms	8.003835	{"lmd": 2, "mdo": 12, "md": 73, "ilm": 124, "oms": 365, "fil": 516, "dom": 680, "lm": 928, "ms": 4377, "do": 6057, "fi": 6074, "om": 11650, "il": 12822}
muu-muu	8.003485	{"muu": 8, "uu": 62, "mu": 3409}
tyke	8.003406	{"tyk": 5, "yke": 40, "yk": 97, "ty": 4368, "ke": 6801}
doxepin	8.003144	{"xep": 2, "dox": 94, "oxe": 228, "epi": 1026, "xe": 1283, "ox": 1597, "pin": 2002, "do": 6057, "ep": 6137, "pi": 8218, "in": 55898}
domovye	8.002782	{"vye": 3, "ovy": 6, "vy": 120, "mov": 160, "dom": 680, "omo": 1099, "ye": 1568, "ov": 4486, "do": 6057, "mo": 9202, "om": 11650}
tarawih	8.002713	{"wih": 2, "awi": 110, "ih": 249, "raw": 349, "tar": 1554, "aw": 1826, "ara": 1984, "wi": 2990, "ta": 15325, "ar": 23319, "ra": 26052}
myrcene	8.002454	{"yrc": 2, "myr": 75, "rce": 548, "yr": 1188, "my": 1322, "cen": 1726, "rc": 3824, "ene": 4141, "ce": 10121, "ne": 24341, "en": 28336}
jajmans	8.002008	{"jaj": 5, "ajm": 9, "jma": 9, "jm": 11, "aj": 340, "ja": 1254, "ans": 2496, "man": 2896, "ma": 13966, "ns": 16950, "an": 27255}
jajmani	8.001945	{"jaj": 5, "ajm": 9, "jma": 9, "jm": 11, "aj": 340, "ja": 1254, "ani": 2744, "man": 2896, "ma": 13966, "ni": 15928, "an": 27255}
sitzprobe	8.001412	{"zpr": 2, "tzp": 8, "zp": 15, "itz": 135, "tz": 424, "rob": 628, "obe": 985, "sit": 1391, "pro": 3652, "ob": 5008, "be": 7191, "pr": 9472, "si": 13737, "it": 19542, "ro": 21780}
eggnogs	8.001332	{"ggn": 2, "ogs": 175, "egg": 203, "gno": 361, "nog": 427, "gn": 1935, "gg": 2150, "eg": 3368, "gs": 5319, "og": 8345, "no": 10594}
bruvs	8.001031	{"uvs": 4, "ruv": 18, "vs": 59, "bru": 277, "uv": 382, "br": 4386, "ru": 4632}
nixy	8.000532	{"ixy": 5, "nix": 32, "xy": 460, "ix": 657, "ni": 15928}
eruvs	8.000434	{"uvs": 4, "ruv": 18, "vs": 59, "eru": 276, "uv": 382, "ru": 4632, "er": 53857}
qawwal	7.999975	{"qaw": 5, "wwa": 10, "aww": 11, "ww": 52, "qa": 105, "wal": 434, "aw": 1826, "wa": 4375, "al": 27586}
klezmorim	7.999204	{"zmo": 3, "ezm": 4, "lez": 14, "zm": 24, "ez": 435, "kle": 536, "rim": 907, "kl": 1074, "mor": 1352, "ori": 2924, "im": 6699, "mo": 9202, "or": 20985, "le": 25286, "ri": 27014}
markkaa	7.998517	{"rkk": 3, "kaa": 7, "kka": 37, "kk": 167, "aa": 269, "ark": 789, "mar": 1482, "rk": 1925, "ka": 2086, "ma": 13966, "ar": 23319}
beefburger	7.997237	{"efb": 2, "fbu": 4, "fb": 53, "eef": 65, "bee": 193, "urg": 477, "bur": 692, "rge": 732, "ger": 1763, "rg": 2514, "ef": 3008, "bu": 3856, "ee": 6626, "be": 7191, "ge": 9698, "ur": 10931, "er": 53857}
avyayibhava	7.997187	{"ibh": 4, "yib": 4, "yay": 7, "vya": 8, "avy": 38, "bha": 63, "vy": 120, "hav": 134, "bh": 140, "ayi": 191, "ava": 473, "yi": 1358, "ya": 1450, "ay": 2419, "av": 2788, "ib": 3120, "va": 3835, "ha": 10764}
ribfests	7.997020	{"ibf": 2, "bfe": 11, "bf": 85, "fes": 304, "rib": 600, "sts": 2841, "ib": 3120, "fe": 4200, "est": 6333, "ts": 10527, "ri": 27014, "st": 28623, "es": 63456}
poxvirus	7.996928	{"oxv": 4, "xv": 6, "xvi": 6, "pox": 69, "iru": 164, "vir": 406, "rus": 946, "ox": 1597, "ru": 4632, "vi": 5599, "ir": 6045, "po": 9502, "us": 11114}
selfcests	7.996759	{"fce": 2, "lfc": 6, "fc": 32, "elf": 628, "sel": 1321, "lf": 1343, "ces": 2020, "sts": 2841, "est": 6333, "ce": 10121, "ts": 10527, "el": 14244, "se": 24344, "st": 28623, "es": 63456}
gamgee	7.996520	{"mge": 4, "amg": 8, "mg": 27, "gee": 148, "gam": 503, "ga": 5763, "ee": 6626, "am": 8854, "ge": 9698}
bupkes	7.996192	{"upk": 5, "pke": 7, "bup": 18, "pk": 50, "kes": 479, "up": 3827, "bu": 3856, "ke": 6801, "es": 63456}
lacmuses	7.995491	{"cmu": 2, "acm": 15, "cm": 27, "mus": 481, "lac": 1140, "use": 1649, "mu": 3409, "ses": 9328, "us": 11114, "ac": 12227, "la": 18073, "se": 24344, "es": 63456}
jojoba	7.995322	{"joj": 3, "ojo": 48, "job": 91, "oj": 206, "oba": 379, "jo": 931, "ob": 5008, "ba": 7263}
kvutzot	7.995226	{"kvu": 4, "vut": 7, "tzo": 16, "kv": 50, "utz": 57, "zot": 66, "vu": 348, "tz": 424, "zo": 1311, "ut": 7768, "ot": 9336}
ixekizumab	7.994866	{"xek": 2, "kiz": 6, "izu": 20, "zum": 22, "eki": 112, "zu": 163, "mab": 167, "ixe": 208, "uma": 487, "ix": 657, "ek": 666, "xe": 1283, "ki": 4856, "um": 6434, "iz": 7477, "ab": 8903, "ma": 13966}
nafcillin	7.994528	{"fci": 2, "afc": 7, "fc": 32, "naf": 45, "cil": 375, "af": 1859, "lli": 2719, "ill": 3045, "lin": 5706, "ci": 8719, "na": 12129, "il": 12822, "ll": 13942, "li": 27677, "in": 55898}
exradii	7.994238	{"exr": 5, "xra": 7, "xr": 11, "dii": 14, "ii": 153, "rad": 1247, "adi": 1315, "ex": 4115, "ad": 7572, "di": 14495, "ra": 26052}
humhums	7.994129	{"mhu": 4, "umh": 10, "mh": 50, "hum": 597, "ums": 903, "hu": 2232, "ms": 4377, "um": 6434}
cumquats	7.993966	{"mq": 5, "mqu": 5, "umq": 5, "uat": 501, "cum": 549, "ats": 681, "qua": 1359, "ua": 3275, "qu": 4369, "cu": 5334, "um": 6434, "ts": 10527, "at": 33338}
bygones	7.993673	{"byg": 2, "ygo": 141, "by": 471, "yg": 511, "gon": 654, "one": 2936, "go": 3757, "nes": 11012, "ne": 24341, "on": 34070, "es": 63456}
yaje	7.993450	{"yaj": 5, "aje": 35, "aj": 340, "je": 871, "ya": 1450}
zythums	7.993380	{"zyt": 2, "thu": 289, "zy": 341, "yth": 390, "hum": 597, "ums": 903, "yt": 1479, "hu": 2232, "ms": 4377, "um": 6434, "th": 11453}
livyer	7.993269	{"vye": 3, "ivy": 14, "vy": 120, "liv": 331, "yer": 336, "ye": 1568, "iv": 5894, "li": 27677, "er": 53857}
macgyvers	7.992958	{"cgy": 4, "acg": 6, "gyv": 8, "yve": 13, "cg": 18, "yv": 44, "mac": 686, "gy": 1283, "ver": 5208, "ers": 11175, "ac": 12227, "ve": 12649, "ma": 13966, "rs": 15538, "er": 53857}
saxhorns	7.992954	{"axh": 2, "xho": 16, "sax": 34, "xh": 132, "rns": 290, "orn": 832, "ax": 941, "hor": 1706, "rn": 3195, "sa": 7941, "ho": 12783, "ns": 16950, "or": 20985}
macaque	7.992627	{"caq": 2, "aqu": 227, "aq": 298, "aca": 474, "mac": 686, "que": 1235, "ue": 2745, "qu": 4369, "ac": 12227, "ma": 13966, "ca": 15651}
bowlder	7.992374	{"wld": 2, "bow": 215, "owl": 323, "wl": 507, "lde": 527, "ld": 2067, "der": 3839, "ow": 4449, "bo": 6341, "de": 17740, "er": 53857}
subtype	7.992099	{"bty": 2, "ubt": 207, "bt": 343, "typ": 470, "ype": 891, "sub": 1837, "yp": 2421, "ub": 3604, "ty": 4368, "su": 7091, "pe": 13090}
mahjong	7.991718	{"ahj": 4, "hjo": 6, "hj": 16, "jon": 50, "mah": 96, "jo": 931, "ong": 1150, "ah": 1215, "ma": 13966, "ng": 31814, "on": 34070}
madhhabs	7.991566	{"dhh": 2, "hha": 14, "hh": 80, "adh": 107, "mad": 260, "abs": 378, "dh": 389, "hab": 470, "bs": 1437, "ad": 7572, "ab": 8903, "ha": 10764, "ma": 13966}
bashlyks	7.991324	{"yks": 3, "lyk": 4, "yk": 97, "hly": 219, "shl": 301, "bas": 711, "ash": 1090, "hl": 1195, "ks": 2959, "ba": 7263, "sh": 9655, "ly": 11081, "as": 16255}
mitsvoth	7.991114	{"svo": 3, "tsv": 4, "sv": 114, "vot": 116, "its": 546, "mit": 967, "oth": 1244, "vo": 2057, "ot": 9336, "ts": 10527, "th": 11453, "mi": 13679, "it": 19542}
quinquevalent	7.991029	{"uev": 1, "inq": 122, "nqu": 310, "nq": 322, "eva": 453, "uin": 565, "val": 793, "que": 1235, "ale": 1459, "qui": 1576, "len": 1955, "ev": 2630, "ue": 2745, "ui": 3183, "va": 3835, "qu": 4369, "ent": 7961, "nt": 20842, "le": 25286, "al": 27586, "en": 28336, "in": 55898}
foxskins	7.990922	{"xsk": 2, "oxs": 15, "fox": 51, "xs": 67, "ski": 663, "ox": 1597, "sk": 1833, "kin": 2435, "ins": 2804, "fo": 4009, "ki": 4856, "ns": 16950, "in": 55898}
naartje	7.990433	{"rtj": 6, "tje": 6, "naa": 8, "aar": 33, "tj": 57, "aa": 269, "je": 871, "art": 2023, "rt": 6302, "na": 12129, "ar": 23319}
softkeys	7.990172	{"ftk": 2, "tke": 16, "tk": 60, "sof": 103, "oft": 154, "key": 268, "eys": 338, "ft": 1185, "ey": 1679, "of": 1745, "ys": 2811, "so": 6604, "ke": 6801}
tightknit	7.989522	{"htk": 3, "tkn": 3, "tk": 60, "kni": 135, "tig": 471, "kn": 692, "ght": 1562, "igh": 1640, "nit": 1740, "ht": 2029, "gh": 2717, "ig": 5744, "ni": 15928, "it": 19542, "ti": 41397}
kiyis	7.989279	{"kiy": 6, "iyi": 7, "iy": 126, "yis": 145, "yi": 1358, "ki": 4856, "is": 31626}
exawatt	7.989009	{"xaw": 2, "awa": 293, "exa": 390, "wat": 564, "xa": 717, "att": 1396, "aw": 1826, "ex": 4115, "wa": 4375, "tt": 5383, "at": 33338}
chamoix	7.988733	{"oix": 2, "moi": 204, "ham": 515, "amo": 638, "ix": 657, "cha": 2580, "oi": 3945, "am": 8854, "mo": 9202, "ha": 10764, "ch": 15074}
csardas	7.988528	{"csa": 2, "rda": 268, "das": 292, "sar": 527, "cs": 1392, "ard": 2351, "rd": 4404, "da": 5117, "sa": 7941, "as": 16255, "ar": 23319}
boxlocks	7.988113	{"xlo": 2, "oxl": 14, "xl": 40, "box": 306, "loc": 1041, "cks": 1402, "ock": 1553, "ox": 1597, "ks": 2959, "bo": 6341, "ck": 7116, "oc": 7325, "lo": 14583}
bynames	7.987121	{"byn": 2, "yna": 272, "by": 471, "nam": 524, "mes": 1246, "ame": 1485, "yn": 1495, "am": 8854, "na": 12129, "me": 14687, "es": 63456}
makgeolli	7.986993	{"kge": 2, "akg": 6, "kg": 50, "mak": 401, "eol": 439, "geo": 498, "oll": 1413, "ak": 2624, "lli": 2719, "eo": 3457, "ge": 9698, "ll": 13942, "ma": 13966, "ol": 14114, "li": 27677}
mizrachs	7.986788	{"izr": 4, "zra": 5, "zr": 7, "chs": 220, "miz": 318, "hs": 1500, "ach": 1595, "rac": 2232, "iz": 7477, "ac": 12227, "mi": 13679, "ch": 15074, "ra": 26052}
turnkey	7.986647	{"rnk": 2, "key": 268, "nke": 506, "urn": 531, "ey": 1679, "tur": 2040, "nk": 2095, "rn": 3195, "tu": 5411, "ke": 6801, "ur": 10931}
cryptdin	7.986376	{"ptd": 2, "tdi": 12, "td": 164, "ypt": 222, "ryp": 225, "cry": 414, "din": 2372, "yp": 2421, "pt": 2974, "ry": 4298, "cr": 6725, "di": 14495, "in": 55898}
mijiu	7.986199	{"jiu": 8, "mij": 9, "iji": 13, "ij": 123, "ji": 440, "iu": 1219, "mi": 13679}
hawkmoth	7.986146	{"wkm": 2, "kmo": 13, "awk": 146, "km": 171, "wk": 185, "haw": 245, "mot": 694, "oth": 1244, "aw": 1826, "mo": 9202, "ot": 9336, "ha": 10764, "th": 11453}
erlking	7.986060	{"rlk": 2, "lki": 166, "lk": 833, "erl": 860, "rl": 2073, "kin": 2435, "ki": 4856, "ing": 27365, "ng": 31814, "er": 53857, "in": 55898}
jegging	7.985539	{"jeg": 2, "egg": 203, "ggi": 623, "je": 871, "gin": 1525, "gg": 2150, "eg": 3368, "gi": 7021, "ing": 27365, "ng": 31814, "in": 55898}
yakhchal	7.985442	{"khc": 2, "hch": 17, "akh": 61, "yak": 78, "hc": 108, "kh": 443, "ya": 1450, "hal": 1506, "cha": 2580, "ak": 2624, "ha": 10764, "ch": 15074, "al": 27586}
doxxing	7.985201	{"xxi": 4, "oxx": 5, "xx": 23, "dox": 94, "xin": 282, "ox": 1597, "xi": 1629, "do": 6057, "ing": 27365, "ng": 31814, "in": 55898}
gazpachos	7.983767	{"azp": 2, "zpa": 9, "zp": 15, "gaz": 101, "pac": 611, "hos": 656, "az": 1383, "ach": 1595, "cho": 1918, "ga": 5763, "pa": 9340, "os": 11445, "ac": 12227, "ho": 12783, "ch": 15074}
knyaginya	7.982885	{"kny": 2, "yag": 41, "nya": 70, "iny": 98, "kn": 692, "agi": 742, "ny": 1214, "ya": 1450, "gin": 1525, "ag": 6532, "gi": 7021, "in": 55898}
avgolemonos	7.981915	{"vgo": 2, "avg": 5, "vg": 6, "gol": 284, "lem": 628, "nos": 901, "emo": 1299, "ono": 1567, "ole": 1600, "mon": 2125, "av": 2788, "go": 3757, "em": 8854, "mo": 9202, "no": 10594, "os": 11445, "ol": 14114, "le": 25286, "on": 34070}
oddness	7.981628	{"ddn": 2, "odd": 229, "dne": 998, "dn": 1102, "dd": 1739, "od": 5255, "nes": 11012, "ess": 11496, "ss": 16363, "ne": 24341, "es": 63456}
bergfall	7.981399	{"rgf": 2, "gfa": 12, "gf": 100, "fal": 315, "erg": 853, "ber": 1621, "rg": 2514, "fa": 3401, "all": 5290, "be": 7191, "ll": 13942, "al": 27586, "er": 53857}
rogatywki	7.981082	{"ywk": 2, "tyw": 7, "wki": 43, "aty": 93, "wk": 185, "yw": 266, "oga": 379, "gat": 954, "rog": 1081, "ty": 4368, "ki": 4856, "ga": 5763, "og": 8345, "ro": 21780, "at": 33338}
mirvs	7.980703	{"rvs": 4, "irv": 20, "vs": 59, "mir": 220, "rv": 1220, "ir": 6045, "mi": 13679}
mcmansion	7.980239	{"mcm": 2, "cma": 7, "cm": 27, "mc": 121, "nsi": 1142, "sio": 1463, "ans": 2496, "man": 2896, "ion": 13326, "si": 13737, "ma": 13966, "ns": 16950, "io": 18045, "an": 27255, "on": 34070}
mozartkugeln	7.980113	{"rtk": 2, "tku": 4, "kug": 11, "eln": 28, "oza": 28, "moz": 58, "tk": 60, "uge": 154, "zar": 195, "gel": 419, "ku": 497, "oz": 635, "ln": 742, "art": 2023, "ug": 2037, "za": 2328, "rt": 6302, "mo": 9202, "ge": 9698, "el": 14244, "ar": 23319}
pixy	7.979568	{"ixy": 5, "pix": 38, "xy": 460, "ix": 657, "pi": 8218}
zequine	7.979523	{"zeq": 2, "uin": 565, "equ": 678, "eq": 689, "qui": 1576, "ui": 3183, "qu": 4369, "ze": 5493, "ine": 6416, "ne": 24341, "in": 55898}
webpages	7.979227	{"ebp": 2, "bpa": 14, "bp": 83, "web": 115, "pag": 276, "ges": 1324, "age": 2085, "eb": 2385, "we": 3183, "ag": 6532, "pa": 9340, "ge": 9698, "es": 63456}
filmwriter	7.978723	{"mwr": 2, "lmw": 4, "mw": 70, "ilm": 124, "wri": 272, "fil": 516, "wr": 652, "lm": 928, "rit": 2069, "ite": 3802, "fi": 6074, "ter": 10986, "il": 12822, "it": 19542, "ri": 27014, "te": 33606, "er": 53857}
jazzbo	7.978716	{"zbo": 4, "zzb": 12, "jaz": 28, "zb": 28, "azz": 164, "zz": 741, "ja": 1254, "az": 1383, "bo": 6341}
zivania	7.978666	{"ziv": 2, "van": 487, "iva": 694, "nia": 1068, "zi": 2340, "ani": 2744, "va": 3835, "iv": 5894, "ia": 11793, "ni": 15928, "an": 27255}
